"","Units","MeterInformation_fk","Permit_Ref","Inspection_Date","Meter_Reading","Fixed_Zeros","Multiplier","NumberOfDials","Prev_insp_date","Prev_meter_read","Volume_Used","Use_Period","PermitList_fk","WR_Number","Latitude","Longitude","BUCode","count_permits","cf","converted_use_rate_AFD"
"41","Acre-Inches","QzDoq68tjqFu","ByOCKC3TVzv7, WBS_xYmLtDVP, bMD9qVyx_dcl",2020-11-17,396367,0,0.01,6,2019-12-19,994730,4016.37,334,"WBS_xYmLtDVP","P30174.0W",41.22517,-104.458,"IRR_GW",3,12,1.00208832335329
"42","Gallons","KLsTkoUOrrPw","zqCRTe8pPPJk",2020-10-12,947949,0,1000,NA,2019-11-06,159055.8,788893200,341,"zqCRTe8pPPJk","P2282.0W",41.01862,-104.279,"IRR_GW",1,325851.42857,7.0997687653974
"43","Gallons","DG-wlHhJz_Xq","w8RL4t-FkMHE, 8CLPFgZTnhjc, bbPMKY_hAhsV",2021-11-16,26,0,1000,6,2020-10-02,307980,692046000,410,"8CLPFgZTnhjc","P14979.0W",41.41325,-104.327,"IRR_GW",3,325851.42857,5.18002047920477
"44","Gallons","DG-wlHhJz_Xq","w8RL4t-FkMHE, 8CLPFgZTnhjc, bbPMKY_hAhsV",2021-11-16,26,0,1000,6,2020-10-02,307980,692046000,410,"bbPMKY_hAhsV","P23179.0W",41.41325,-104.327,"IRR_GW",3,325851.42857,5.18002047920477
"45","Gallons","DG-wlHhJz_Xq","w8RL4t-FkMHE, 8CLPFgZTnhjc, bbPMKY_hAhsV",2021-11-16,26,0,1000,6,2020-10-02,307980,692046000,410,"w8RL4t-FkMHE","P12038.0W",41.41325,-104.327,"IRR_GW",3,325851.42857,5.18002047920477
"46","Gallons","6DheQqVQuRpy","Zx2V7QFZK-yn",2020-10-07,284495,0,1000,6,2020-01-22,208013,76482000,259,"Zx2V7QFZK-yn","P194979.0W",41.3415,-104.74959,"IRR_GW",1,325851.42857,0.906232937486911
"47","Gallons","fOiJGU-O1Cz0","pK5_N1_CLpOu",2020-11-17,225556,0,1000,6,2020-03-18,119450,106106000,244,"pK5_N1_CLpOu","P119450.0W",41.21249,-104.6456,"IRR_GW",1,325851.42857,1.33453659431874
"48","Gallons","K1Q6aA5hOiXX","wjQ2hPUiMM9H, Zx3RMldIKyCW",2020-10-06,317524,0,1000,6,2019-10-22,193543,123981000,350,"wjQ2hPUiMM9H","P30504.0W",41.10452,-104.49758,"IRR_GW",2,325851.42857,1.08709490741217
"49","Gallons","K1Q6aA5hOiXX","wjQ2hPUiMM9H, Zx3RMldIKyCW",2020-10-06,317524,0,1000,6,2019-10-22,193543,123981000,350,"Zx3RMldIKyCW","P87433.0W",41.10452,-104.49758,"IRR_GW",2,325851.42857,1.08709490741217
"50","Gallons","K1Q6aA5hOiXX","wjQ2hPUiMM9H, Zx3RMldIKyCW",2021-10-05,445814,0,1000,6,2020-10-06,317524,128290000,364,"Zx3RMldIKyCW","P87433.0W",41.10452,-104.49758,"IRR_GW",2,325851.42857,1.08161273526331
"51","Gallons","K1Q6aA5hOiXX","wjQ2hPUiMM9H, Zx3RMldIKyCW",2021-10-05,445814,0,1000,6,2020-10-06,317524,128290000,364,"wjQ2hPUiMM9H","P30504.0W",41.10452,-104.49758,"IRR_GW",2,325851.42857,1.08161273526331
