"","Units","MeterInformation_fk","Permit_Ref","Inspection_Date","Meter_Reading","Fixed_Zeros","Multiplier","NumberOfDials","Prev_insp_date","Prev_meter_read","Volume_Used","Use_Period","PermitList_fk","WR_Number","Latitude","Longitude","BUCode","count_permits","cf","converted_use_rate_AFD"
"985","Gallons","H16G05XPoQuO","Su8IhzlWHlLl",2021-10-05,411881,0,100,6,2020-10-09,922629,48925200,361,"Su8IhzlWHlLl","P47360.0W",41.30046,-104.63968,"IRR_GW",1,325851.42857,0.415916144363259
"986","Gallons","9v5RQtoev-Wv","BnjL1LWFWWin, F_nookn_sBY0",2020-10-07,900859,0,1000,6,2019-10-31,899326,1533000,342,"F_nookn_sBY0","P156187.0W",41.02675,-104.42477,"IRR_GW",2,325851.42857,0.01375613469004
"987","Gallons","9v5RQtoev-Wv","BnjL1LWFWWin, F_nookn_sBY0",2021-12-14,957157,0,1000,6,2020-10-07,900859,56298000,433,"BnjL1LWFWWin","P6884.0W",41.02675,-104.42477,"IRR_GW",2,325851.42857,0.39901152596189
"988","Gallons","01sLledL6wQT","tu-4_lZ617AS",2020-11-03,139654,2,1,6,2020-01-09,0,13965400,299,"tu-4_lZ617AS","P54104.0W",41.59115,-104.71064,"STK",1,325851.42857,0.14333840307635
"989","Gallons","gZlJv8Bm-sqO","iz-MvPE_DXe6, J4SRGcgNitev, vjRCSDC8IeFK",2020-10-06,781040,0,100,6,2019-10-22,663036,11800400,350,"iz-MvPE_DXe6","P318.0G",41.10447,-104.49857,"IRR_GW",3,325851.42857,0.103468714927502
"990","Gallons","gZlJv8Bm-sqO","iz-MvPE_DXe6, J4SRGcgNitev, vjRCSDC8IeFK",2020-10-06,781040,0,100,6,2019-10-22,663036,11800400,350,"J4SRGcgNitev","P25258.0W",41.10447,-104.49857,"IRR_GW",3,325851.42857,0.103468714927502
"991","Gallons","gZlJv8Bm-sqO","iz-MvPE_DXe6, J4SRGcgNitev, vjRCSDC8IeFK",2020-10-06,781040,0,100,6,2019-10-22,663036,11800400,350,"vjRCSDC8IeFK","P38035.0W",41.10447,-104.49857,"IRR_GW",3,325851.42857,0.103468714927502
"992","Gallons","gZlJv8Bm-sqO","iz-MvPE_DXe6, J4SRGcgNitev, vjRCSDC8IeFK",2021-10-05,949903,0,100,6,2020-10-06,781040,16886300,364,"iz-MvPE_DXe6","P318.0G",41.10447,-104.49857,"IRR_GW",3,325851.42857,0.142368361770028
"993","Gallons","gZlJv8Bm-sqO","iz-MvPE_DXe6, J4SRGcgNitev, vjRCSDC8IeFK",2021-10-05,949903,0,100,6,2020-10-06,781040,16886300,364,"J4SRGcgNitev","P25258.0W",41.10447,-104.49857,"IRR_GW",3,325851.42857,0.142368361770028
"994","Gallons","j1F6vfIH91cE","aEC1PV0bfAVG",2020-10-15,657873,0,100,6,2019-11-19,386234,27163900,331,"aEC1PV0bfAVG","P169.0G",41.15338,-104.21792,"IRR_GW",1,325851.42857,0.2518514756929
"995","Gallons","j1F6vfIH91cE","aEC1PV0bfAVG",2021-10-04,830102,0,100,6,2020-10-15,657873,17222900,354,"aEC1PV0bfAVG","P169.0G",41.15338,-104.21792,"IRR_GW",1,325851.42857,0.149308106766683
"996","Gallons","H-BCbEVd_ofs","QPNMBvG3Pr98",2021-12-29,206556,0,1000,6,2020-10-08,170982,35574000,447,"QPNMBvG3Pr98","P31988.0W",41.37984,-104.26234,"IRR_GW",1,325851.42857,0.244233677190564
"997","Gallons","H16G05XPoQuO","Su8IhzlWHlLl",2021-10-05,411881,0,100,6,2020-10-09,922629,48925200,361,"Su8IhzlWHlLl","P47360.0W",41.30046,-104.63968,"STK",1,325851.42857,0.415916144363259
"998","Gallons","D1FIuXMhSIDV","u9ykcMQ0EV6Q, SqfwFm9mTbHh",2020-10-21,74399,1,1,6,2020-01-14,435730,6386690,281,"u9ykcMQ0EV6Q","P147240.0W",41.16501,-104.701,"MIS",2,325851.42857,0.0697509115226067
"999","Gallons","9v5RQtoev-Wv","BnjL1LWFWWin, F_nookn_sBY0",2021-12-14,957157,0,1000,6,2020-10-07,900859,56298000,433,"F_nookn_sBY0","P156187.0W",41.02675,-104.42477,"IRR_GW",2,325851.42857,0.39901152596189
"1000","Gallons","OLVQQuCjLe-o","MjySQ1MH04g1",2020-10-09,91973,0,1000,6,2020-01-09,91973,0,274,"MjySQ1MH04g1","P13240.0W",41.32836,-104.54858,"IRR_GW",1,325851.42857,0
"1001","Gallons","OLVQQuCjLe-o","MjySQ1MH04g1",2021-09-28,91986,0,1000,6,2020-10-09,91973,13000,354,"MjySQ1MH04g1","P13240.0W",41.32836,-104.54858,"IRR_GW",1,325851.42857,0.000112699103401104
"1002","Gallons","hg5Qb1zye84i","gBXfwy3B_Qvx, 3OavDlhleNby",2020-10-09,703020,0,100,6,2020-01-14,509864,19315600,269,"gBXfwy3B_Qvx","P5993.0W",41.34291,-104.83833,"IRR_GW",2,325851.42857,0.220361791188346
"1003","Gallons","ywZoTWNkNnge","LqZPpecip5pC",2021-10-07,56210.9,0,100,NA,2020-10-20,52930.7,328020,352,"LqZPpecip5pC","P168442.0W",41.328583,-104.060667,"IRR_GW",1,325851.42857,0.00285981560396877
"1004","Gallons","iYb7atnmZoZe","8dHSEn6URUUx",2021-11-09,518422,0,100,6,2020-11-17,42494,47592800,357,"8dHSEn6URUUx","P14859.0W",41.19199,-104.40321,"IRR_GW",1,325851.42857,0.409122543519762
"1005","Gallons","Jqab34tRGAY6","0fUNHosUhsYK, ncALgbVc-iKd",2020-10-07,857654,0,1000,6,2019-10-31,843657,13997000,342,"ncALgbVc-iKd","P156186.0W",41.03343,-104.42421,"IRR_GW",2,325851.42857,0.125599880793536
"1006","Gallons","Jqab34tRGAY6","0fUNHosUhsYK, ncALgbVc-iKd",2021-12-14,933119,0,1000,6,2020-10-07,857654,75465000,433,"0fUNHosUhsYK","P6478.0W",41.03343,-104.42421,"IRR_GW",2,325851.42857,0.534857451538492
"1007","Gallons","r2w3JrQ4vdxv","PH-PpeCKwH8L",2021-11-09,678561,0,100,6,2020-11-17,107251,57131000,357,"PH-PpeCKwH8L","P33906.0W",41.19718,-104.42142,"IRR_GW",1,325851.42857,0.491115883785521
"1008","Gallons","Jqab34tRGAY6","0fUNHosUhsYK, ncALgbVc-iKd",2020-10-07,857654,0,1000,6,2019-10-31,843657,13997000,342,"0fUNHosUhsYK","P6478.0W",41.03343,-104.42421,"IRR_GW",2,325851.42857,0.125599880793536
"1009","Gallons","Jqab34tRGAY6","0fUNHosUhsYK, ncALgbVc-iKd",2021-12-14,933119,0,1000,6,2020-10-07,857654,75465000,433,"ncALgbVc-iKd","P156186.0W",41.03343,-104.42421,"IRR_GW",2,325851.42857,0.534857451538492
"1010","Gallons","r2w3JrQ4vdxv","PH-PpeCKwH8L",2020-11-17,107251,0,100,6,2020-02-24,445370,66188100,267,"PH-PpeCKwH8L","P33906.0W",41.19718,-104.42142,"IRR_GW",1,325851.42857,0.760762371691503
"1011","Gallons","RFqrP98FeuzA","BDjZWR3WqFy7",2021-10-07,310699,0,10,6,2020-11-02,191085,1196140,339,"BDjZWR3WqFy7","P51824.0W",41.22517,-104.70773,"IRR_GW",1,325851.42857,0.0108283600095161
"1012","Gallons","ZStM_wo_x6Sx","JqCq3yFYoc-b",2020-10-08,138965,0,100,6,2019-11-01,395608,74335700,342,"JqCq3yFYoc-b","P8493.0W",41.0068055,-104.397333,"IRR_GW",1,325851.42857,0.667039726991786
"1013","Gallons","K1Q6aA5hOiXX","wjQ2hPUiMM9H, Zx3RMldIKyCW",2021-10-05,445814,0,1000,6,2020-10-06,317524,128290000,364,"Zx3RMldIKyCW","P87433.0W",41.10452,-104.49758,"IRR_GW",2,325851.42857,1.08161273526331
